routeID,operator
309,Go North East
317,Go North East
317,Go North East
317,Go North East
327,Go North East
327,Go North East
327,Go North East
327,Go North East
327,Go North East
327,Go North East
327,Go North East
327,Go North East
32,Go North East
32,Go North East
32,Go North East
333,Go North East
333,Go North East
333,Go North East
33,Go North East
33,Go North East
33,Go North East
340,Go North East
340,Go North East
341,Go North East
341,Go North East
341,Go North East
342,Go North East
342,Go North East
342,Go North East
34,Go North East
34,Go North East
34,Go North East
34,Go North East
34,Go North East
34,Go North East
352,Go North East
353,Go North East
353,Go North East
353,Go North East
353,Go North East
353,Go North East
353,Go North East
354,Go North East
354,Go North East
355,Go North East
355,Go North East
356,Go North East
356,Go North East
35,Go North East
35,Go North East
35,Go North East
36,Go North East
36,Go North East
36,Go North East
36,Go North East
442,Go North East
444,Go North East
449,Go North East
454,Go North East
457,Go North East
458,Go North East
462,Go North East
47,Go North East
47,Go North East
47,Go North East
47,Go North East
47,Go North East
47,Go North East
49A,Go North East
49A,Go North East
49A,Go North East
49,Go North East
49,Go North East
49,Go North East
4,Go North East
4,Go North East
4,Go North East
4,Go North East
50,Go North East
50,Go North East
50,Go North East
50,Go North East
50,Go North East
51,Go North East
51,Go North East
51,Go North East
52,Go North East
52,Go North East
52,Go North East
53,Go North East
53,Go North East
53,Go North East
54A,Go North East
54A,Go North East
54A,Go North East
54,Go North East
54,Go North East
54,Go North East
56,Go North East
56,Go North East
56,Go North East
56,Go North East
56,Go North East
56,Go North East
56,Go North East
56,Go North East
56,Go North East
56,Go North East
56,Go North East
56,Go North East
57,Go North East
57,Go North East
57,Go North East
58A,Go North East
58A,Go North East
58A,Go North East
58,Go North East
58,Go North East
58,Go North East
58,Go North East
58,Go North East
58,Go North East
60,Go North East
60,Go North East
60,Go North East
61,Go North East
61,Go North East
61,Go North East
62A,Go North East
62A,Go North East
62,Go North East
62,Go North East
62,Go North East
63,Go North East
63,Go North East
63,Go North East
643,Go North East
643,Go North East
644,Go North East
644,Go North East
65,Go North East
65,Go North East
65,Go North East
65,Go North East
65,Go North East
65,Go North East
65,Go North East
65,Go North East
65,Go North East
65,Go North East
673,Go North East
675,Go North East
676,Go North East
67,Go North East
67,Go North East
67,Go North East
680N,Go North East
680,Go North East
680,Go North East
680,Go North East
680,Go North East
681,Go North East
681,Go North East
682,Go North East
